menu,voce,descrizione,col,user,profile,right,status,http,count,note,endpoint,params
Analisi Risorse,Pivot Annuale,Pivot annuale risorse con aggregazioni multilivello,PM,rguarnaccia,Project Manager,-,OK,403,,Accesso negato come atteso,/api/commesse/risorse/valutazione,"{""mensile"": ""false"", ""take"": ""100"", ""profile"": ""Project Manager""}"
Analisi Risorse,Pivot Annuale,Pivot annuale risorse con aggregazioni multilivello,GPM,ccampione,General Project Manager,-,OK,403,,Accesso negato come atteso,/api/commesse/risorse/valutazione,"{""mensile"": ""false"", ""take"": ""100"", ""profile"": ""General Project Manager""}"
Analisi Risorse,Pivot Annuale,Pivot annuale risorse con aggregazioni multilivello,HR,agarilli,Risorse Umane,T,OK,200,100,OK,/api/commesse/risorse/valutazione,"{""mensile"": ""false"", ""take"": ""100"", ""profile"": ""Risorse Umane""}"
Analisi Risorse,Pivot Annuale,Pivot annuale risorse con aggregazioni multilivello,ROU,ascuderi,Responsabile OU,P,OK,200,100,OK,/api/commesse/risorse/valutazione,"{""mensile"": ""false"", ""take"": ""100"", ""profile"": ""Responsabile OU""}"
Analisi Risorse,Valutazione Mensile,Vista analitica mensile per risorsa,Sup,Stefano,Supervisore,T,OK,200,100,OK,/api/commesse/risorse/valutazione,"{""mensile"": ""true"", ""anni"": ""2026"", ""take"": ""100"", ""profile"": ""Supervisore""}"
Analisi Risorse,Valutazione Mensile,Vista analitica mensile per risorsa,RC,lamico,Responsabile Commerciale,T,OK,200,100,OK,/api/commesse/risorse/valutazione,"{""mensile"": ""true"", ""anni"": ""2026"", ""take"": ""100"", ""profile"": ""Responsabile Commerciale""}"
Analisi Risorse,Valutazione Mensile,Vista analitica mensile per risorsa,RCC,aaltana,Responsabile Commerciale Commessa,P,OK,200,100,OK,/api/commesse/risorse/valutazione,"{""mensile"": ""true"", ""anni"": ""2026"", ""take"": ""100"", ""profile"": ""Responsabile Commerciale Commessa""}"
Analisi Risorse,Valutazione Mensile,Vista analitica mensile per risorsa,RP,eragusa,Responsabile Produzione,T,OK,200,100,OK,/api/commesse/risorse/valutazione,"{""mensile"": ""true"", ""anni"": ""2026"", ""take"": ""100"", ""profile"": ""Responsabile Produzione""}"
Analisi Risorse,Valutazione Mensile,Vista analitica mensile per risorsa,PM,rguarnaccia,Project Manager,-,OK,403,,Accesso negato come atteso,/api/commesse/risorse/valutazione,"{""mensile"": ""true"", ""anni"": ""2026"", ""take"": ""100"", ""profile"": ""Project Manager""}"
Analisi Risorse,Valutazione Mensile,Vista analitica mensile per risorsa,GPM,ccampione,General Project Manager,-,OK,403,,Accesso negato come atteso,/api/commesse/risorse/valutazione,"{""mensile"": ""true"", ""anni"": ""2026"", ""take"": ""100"", ""profile"": ""General Project Manager""}"
Analisi Risorse,Valutazione Mensile,Vista analitica mensile per risorsa,HR,agarilli,Risorse Umane,T,OK,200,100,OK,/api/commesse/risorse/valutazione,"{""mensile"": ""true"", ""anni"": ""2026"", ""take"": ""100"", ""profile"": ""Risorse Umane""}"
Analisi Risorse,Valutazione Mensile,Vista analitica mensile per risorsa,ROU,ascuderi,Responsabile OU,P,OK,200,100,OK,/api/commesse/risorse/valutazione,"{""mensile"": ""true"", ""anni"": ""2026"", ""take"": ""100"", ""profile"": ""Responsabile OU""}"
Analisi Risorse,Pivot Mensile,Pivot mensile risorse con aggregazioni multilivello,Sup,Stefano,Supervisore,T,OK,200,100,OK,/api/commesse/risorse/valutazione,"{""mensile"": ""true"", ""anni"": ""2026"", ""take"": ""100"", ""profile"": ""Supervisore""}"
Analisi Risorse,Pivot Mensile,Pivot mensile risorse con aggregazioni multilivello,RC,lamico,Responsabile Commerciale,T,OK,200,100,OK,/api/commesse/risorse/valutazione,"{""mensile"": ""true"", ""anni"": ""2026"", ""take"": ""100"", ""profile"": ""Responsabile Commerciale""}"
Analisi Risorse,Pivot Mensile,Pivot mensile risorse con aggregazioni multilivello,RCC,aaltana,Responsabile Commerciale Commessa,P,OK,200,100,OK,/api/commesse/risorse/valutazione,"{""mensile"": ""true"", ""anni"": ""2026"", ""take"": ""100"", ""profile"": ""Responsabile Commerciale Commessa""}"
Analisi Risorse,Pivot Mensile,Pivot mensile risorse con aggregazioni multilivello,RP,eragusa,Responsabile Produzione,T,OK,200,100,OK,/api/commesse/risorse/valutazione,"{""mensile"": ""true"", ""anni"": ""2026"", ""take"": ""100"", ""profile"": ""Responsabile Produzione""}"
Analisi Risorse,Pivot Mensile,Pivot mensile risorse con aggregazioni multilivello,PM,rguarnaccia,Project Manager,-,OK,403,,Accesso negato come atteso,/api/commesse/risorse/valutazione,"{""mensile"": ""true"", ""anni"": ""2026"", ""take"": ""100"", ""profile"": ""Project Manager""}"
Analisi Risorse,Pivot Mensile,Pivot mensile risorse con aggregazioni multilivello,GPM,ccampione,General Project Manager,-,OK,403,,Accesso negato come atteso,/api/commesse/risorse/valutazione,"{""mensile"": ""true"", ""anni"": ""2026"", ""take"": ""100"", ""profile"": ""General Project Manager""}"
Analisi Risorse,Pivot Mensile,Pivot mensile risorse con aggregazioni multilivello,HR,agarilli,Risorse Umane,T,OK,200,100,OK,/api/commesse/risorse/valutazione,"{""mensile"": ""true"", ""anni"": ""2026"", ""take"": ""100"", ""profile"": ""Risorse Umane""}"
Analisi Risorse,Pivot Mensile,Pivot mensile risorse con aggregazioni multilivello,ROU,ascuderi,Responsabile OU,P,OK,200,100,OK,/api/commesse/risorse/valutazione,"{""mensile"": ""true"", ""anni"": ""2026"", ""take"": ""100"", ""profile"": ""Responsabile OU""}"
Analisi Risorse,Analisi OU Risorse,Analisi economica risorse su perimetro OU,Sup,Stefano,Supervisore,T,OK,200,100,OK,/api/commesse/risorse/valutazione,"{""analisiOu"": ""true"", ""take"": ""100"", ""profile"": ""Supervisore""}"
Analisi Risorse,Analisi OU Risorse,Analisi economica risorse su perimetro OU,RC,lamico,Responsabile Commerciale,T,OK,200,100,OK,/api/commesse/risorse/valutazione,"{""analisiOu"": ""true"", ""take"": ""100"", ""profile"": ""Responsabile Commerciale""}"
Analisi Risorse,Analisi OU Risorse,Analisi economica risorse su perimetro OU,RCC,aaltana,Responsabile Commerciale Commessa,P,OK,200,100,OK,/api/commesse/risorse/valutazione,"{""analisiOu"": ""true"", ""take"": ""100"", ""profile"": ""Responsabile Commerciale Commessa""}"
Analisi Risorse,Analisi OU Risorse,Analisi economica risorse su perimetro OU,RP,eragusa,Responsabile Produzione,T,OK,200,100,OK,/api/commesse/risorse/valutazione,"{""analisiOu"": ""true"", ""take"": ""100"", ""profile"": ""Responsabile Produzione""}"
Analisi Risorse,Analisi OU Risorse,Analisi economica risorse su perimetro OU,PM,rguarnaccia,Project Manager,-,OK,403,,Accesso negato come atteso,/api/commesse/risorse/valutazione,"{""analisiOu"": ""true"", ""take"": ""100"", ""profile"": ""Project Manager""}"
Analisi Risorse,Analisi OU Risorse,Analisi economica risorse su perimetro OU,GPM,ccampione,General Project Manager,-,OK,403,,Accesso negato come atteso,/api/commesse/risorse/valutazione,"{""analisiOu"": ""true"", ""take"": ""100"", ""profile"": ""General Project Manager""}"
Analisi Risorse,Analisi OU Risorse,Analisi economica risorse su perimetro OU,HR,agarilli,Risorse Umane,T,OK,200,100,OK,/api/commesse/risorse/valutazione,"{""analisiOu"": ""true"", ""take"": ""100"", ""profile"": ""Risorse Umane""}"
Analisi Risorse,Analisi OU Risorse,Analisi economica risorse su perimetro OU,ROU,ascuderi,Responsabile OU,P,WARN,200,0,Ricerca eseguita ma 0 risultati,/api/commesse/risorse/valutazione,"{""analisiOu"": ""true"", ""take"": ""100"", ""profile"": ""Responsabile OU""}"
Analisi Risorse,Analisi OU Risorse Pivot,Pivot OU risorse con totali per gruppo,Sup,Stefano,Supervisore,T,OK,200,100,OK,/api/commesse/risorse/valutazione,"{""analisiOuPivot"": ""true"", ""take"": ""100"", ""profile"": ""Supervisore""}"
Analisi Risorse,Analisi OU Risorse Pivot,Pivot OU risorse con totali per gruppo,RC,lamico,Responsabile Commerciale,T,OK,200,100,OK,/api/commesse/risorse/valutazione,"{""analisiOuPivot"": ""true"", ""take"": ""100"", ""profile"": ""Responsabile Commerciale""}"
Analisi Risorse,Analisi OU Risorse Pivot,Pivot OU risorse con totali per gruppo,RCC,aaltana,Responsabile Commerciale Commessa,P,OK,200,70,OK,/api/commesse/risorse/valutazione,"{""analisiOuPivot"": ""true"", ""take"": ""100"", ""profile"": ""Responsabile Commerciale Commessa""}"
Analisi Risorse,Analisi OU Risorse Pivot,Pivot OU risorse con totali per gruppo,RP,eragusa,Responsabile Produzione,T,OK,200,100,OK,/api/commesse/risorse/valutazione,"{""analisiOuPivot"": ""true"", ""take"": ""100"", ""profile"": ""Responsabile Produzione""}"
Analisi Risorse,Analisi OU Risorse Pivot,Pivot OU risorse con totali per gruppo,PM,rguarnaccia,Project Manager,-,OK,403,,Accesso negato come atteso,/api/commesse/risorse/valutazione,"{""analisiOuPivot"": ""true"", ""take"": ""100"", ""profile"": ""Project Manager""}"
Analisi Risorse,Analisi OU Risorse Pivot,Pivot OU risorse con totali per gruppo,GPM,ccampione,General Project Manager,-,OK,403,,Accesso negato come atteso,/api/commesse/risorse/valutazione,"{""analisiOuPivot"": ""true"", ""take"": ""100"", ""profile"": ""General Project Manager""}"
Analisi Risorse,Analisi OU Risorse Pivot,Pivot OU risorse con totali per gruppo,HR,agarilli,Risorse Umane,T,OK,200,100,OK,/api/commesse/risorse/valutazione,"{""analisiOuPivot"": ""true"", ""take"": ""100"", ""profile"": ""Risorse Umane""}"
Analisi Risorse,Analisi OU Risorse Pivot,Pivot OU risorse con totali per gruppo,ROU,ascuderi,Responsabile OU,P,WARN,200,0,Ricerca eseguita ma 0 risultati,/api/commesse/risorse/valutazione,"{""analisiOuPivot"": ""true"", ""take"": ""100"", ""profile"": ""Responsabile OU""}"
Analisi Risorse,Analisi Mensile OU Risorse,Analisi OU risorse su base mensile,Sup,Stefano,Supervisore,T,OK,200,100,OK,/api/commesse/risorse/valutazione,"{""mensile"": ""true"", ""analisiOu"": ""true"", ""anni"": ""2026"", ""take"": ""100"", ""profile"": ""Supervisore""}"
Analisi Risorse,Analisi Mensile OU Risorse,Analisi OU risorse su base mensile,RC,lamico,Responsabile Commerciale,T,OK,200,100,OK,/api/commesse/risorse/valutazione,"{""mensile"": ""true"", ""analisiOu"": ""true"", ""anni"": ""2026"", ""take"": ""100"", ""profile"": ""Responsabile Commerciale""}"
